Number of circles: 26683, Packing Fraction = 0.510593, Time = 37.164054
Number of circles: 26581, Packing Fraction = 0.508641, Time = 28.865697
Number of circles: 26766, Packing Fraction = 0.512181, Time = 36.352804
Number of circles: 26731, Packing Fraction = 0.511511, Time = 36.090218
Number of circles: 26601, Packing Fraction = 0.509024, Time = 32.173564
Number of circles: 26803, Packing Fraction = 0.512889, Time = 38.572349
Number of circles: 26498, Packing Fraction = 0.507053, Time = 29.532223
Number of circles: 26934, Packing Fraction = 0.515396, Time = 43.512256
Number of circles: 26647, Packing Fraction = 0.509904, Time = 30.398086
Number of circles: 26561, Packing Fraction = 0.508258, Time = 28.646646
Number of circles: 26442, Packing Fraction = 0.505981, Time = 26.712217
Number of circles: 26863, Packing Fraction = 0.514037, Time = 41.872620
Number of circles: 26927, Packing Fraction = 0.515262, Time = 48.115091
Number of circles: 26697, Packing Fraction = 0.510861, Time = 37.931818
Number of circles: 26648, Packing Fraction = 0.509923, Time = 33.535285
Number of circles: 26567, Packing Fraction = 0.508373, Time = 30.762318
Number of circles: 26581, Packing Fraction = 0.508641, Time = 31.756858
Number of circles: 26728, Packing Fraction = 0.511454, Time = 37.890940
Number of circles: 26596, Packing Fraction = 0.508928, Time = 32.256283
Number of circles: 26899, Packing Fraction = 0.514726, Time = 42.259980
Number of circles: 26651, Packing Fraction = 0.509981, Time = 31.743588
Number of circles: 26991, Packing Fraction = 0.516487, Time = 53.726070
Number of circles: 26583, Packing Fraction = 0.508679, Time = 31.760608
Number of circles: 26746, Packing Fraction = 0.511798, Time = 37.429937
Number of circles: 26661, Packing Fraction = 0.510172, Time = 33.337489
Number of circles: 26747, Packing Fraction = 0.511818, Time = 37.263172
Number of circles: 26598, Packing Fraction = 0.508966, Time = 28.240485
Number of circles: 26725, Packing Fraction = 0.511397, Time = 37.004542
Number of circles: 26596, Packing Fraction = 0.508928, Time = 32.333361
Number of circles: 26696, Packing Fraction = 0.510842, Time = 33.840046
Number of circles: 26682, Packing Fraction = 0.510574, Time = 35.466548
Number of circles: 26813, Packing Fraction = 0.513081, Time = 41.627286
Number of circles: 26820, Packing Fraction = 0.513215, Time = 40.315987
