Distance Squared = 4.490823, compared to 6.091024
Distance Squared = 0.657274, compared to 6.091024
Distance Squared = 2.334935, compared to 6.091024
Distance Squared = 5.119090, compared to 6.091024
Distance Squared = 0.622245, compared to 6.091024
Distance Squared = 4.947044, compared to 6.091024
Distance Squared = 5.788283, compared to 6.091024
Distance Squared = 5.126273, compared to 6.091024
Distance Squared = 5.526272, compared to 6.091024
Distance Squared = 0.906174, compared to 6.091024
Distance Squared = 4.488033, compared to 6.091024
Distance Squared = 4.850602, compared to 6.091024
Distance Squared = 4.695868, compared to 6.091024
Distance Squared = 5.965353, compared to 6.091024
Distance Squared = 3.404962, compared to 6.091024
Distance Squared = 2.486401, compared to 6.091024
Distance Squared = 0.314117, compared to 6.091024
Distance Squared = 1.845964, compared to 6.091024
Distance Squared = 2.464554, compared to 6.091024
Distance Squared = 4.311836, compared to 6.091024
Distance Squared = 5.729617, compared to 6.091024
Distance Squared = 4.084627, compared to 6.091024
Distance Squared = 0.079472, compared to 6.091024
Distance Squared = 1.016528, compared to 6.091024
Distance Squared = 1.232679, compared to 6.091024
Distance Squared = 0.760290, compared to 6.091024
Distance Squared = 2.105986, compared to 6.091024
Distance Squared = 0.708321, compared to 6.091024
Distance Squared = 0.680701, compared to 6.091024
Distance Squared = 3.775244, compared to 6.091024
Distance Squared = 6.065797, compared to 6.091024
Distance Squared = 3.605664, compared to 6.091024
Distance Squared = 3.901440, compared to 6.091024
Distance Squared = 1.458281, compared to 6.091024
Distance Squared = 0.784513, compared to 6.091024
Distance Squared = 3.730303, compared to 6.091024
Distance Squared = 5.747155, compared to 6.091024
Distance Squared = 0.585703, compared to 6.091024
Distance Squared = 2.508966, compared to 6.091024
Distance Squared = 4.405862, compared to 6.091024
Distance Squared = 5.796283, compared to 6.091024
Distance Squared = 4.942685, compared to 6.091024
Distance Squared = 5.299761, compared to 6.091024
Distance Squared = 2.455839, compared to 6.091024
Distance Squared = 1.349530, compared to 6.091024
Distance Squared = 3.455443, compared to 6.091024
Distance Squared = 2.649746, compared to 6.091024
Distance Squared = 1.763510, compared to 6.091024
Distance Squared = 2.964627, compared to 6.091024
Distance Squared = 3.407489, compared to 6.091024
