Number of circles: 6797, Packing Fraction = 0.130064, Time = 0.030397
Number of circles: 9180, Packing Fraction = 0.175664, Time = 0.045791
Number of circles: 9588, Packing Fraction = 0.183471, Time = 0.057229
Number of circles: 9702, Packing Fraction = 0.185653, Time = 0.050511
Number of circles: 9134, Packing Fraction = 0.174784, Time = 0.048910
Number of circles: 7542, Packing Fraction = 0.144320, Time = 0.044726
Number of circles: 9086, Packing Fraction = 0.173865, Time = 0.049741
Number of circles: 9317, Packing Fraction = 0.178286, Time = 0.051106
Number of circles: 9771, Packing Fraction = 0.186973, Time = 0.063718
Number of circles: 10179, Packing Fraction = 0.194780, Time = 0.075238
Number of circles: 8998, Packing Fraction = 0.172181, Time = 0.064633
Number of circles: 10074, Packing Fraction = 0.192771, Time = 0.067688
Number of circles: 8107, Packing Fraction = 0.155132, Time = 0.050164
Number of circles: 9360, Packing Fraction = 0.179108, Time = 0.058855
Number of circles: 9136, Packing Fraction = 0.174822, Time = 0.059310
Number of circles: 7374, Packing Fraction = 0.141105, Time = 0.055222
Number of circles: 7981, Packing Fraction = 0.152721, Time = 0.051631
Number of circles: 8666, Packing Fraction = 0.165828, Time = 0.050593
Number of circles: 9223, Packing Fraction = 0.176487, Time = 0.057084
Number of circles: 7646, Packing Fraction = 0.146310, Time = 0.039911
Number of circles: 7291, Packing Fraction = 0.139517, Time = 0.037808
Number of circles: 9356, Packing Fraction = 0.179032, Time = 0.054327
Number of circles: 9183, Packing Fraction = 0.175721, Time = 0.059173
Number of circles: 8993, Packing Fraction = 0.172086, Time = 0.055542
Number of circles: 9261, Packing Fraction = 0.177214, Time = 0.055445
Number of circles: 6611, Packing Fraction = 0.126505, Time = 0.035040
Number of circles: 8054, Packing Fraction = 0.154117, Time = 0.044539
Number of circles: 9029, Packing Fraction = 0.172775, Time = 0.109497
Number of circles: 8778, Packing Fraction = 0.167972, Time = 0.052443
Number of circles: 9242, Packing Fraction = 0.176850, Time = 0.058503
Number of circles: 7049, Packing Fraction = 0.134886, Time = 0.033319
Number of circles: 8721, Packing Fraction = 0.166881, Time = 0.049511
Number of circles: 8801, Packing Fraction = 0.168412, Time = 0.052685
Number of circles: 8453, Packing Fraction = 0.161753, Time = 0.049789
Number of circles: 7508, Packing Fraction = 0.143669, Time = 0.041055
Number of circles: 6323, Packing Fraction = 0.120994, Time = 0.034988
Number of circles: 10004, Packing Fraction = 0.191432, Time = 0.062761
Number of circles: 9556, Packing Fraction = 0.182859, Time = 0.061841
Number of circles: 5198, Packing Fraction = 0.099466, Time = 0.026818
Number of circles: 9352, Packing Fraction = 0.178955, Time = 0.065467
Number of circles: 10107, Packing Fraction = 0.193403, Time = 0.062100
Number of circles: 9056, Packing Fraction = 0.173291, Time = 0.060399
Number of circles: 8269, Packing Fraction = 0.158232, Time = 0.045799
Number of circles: 7458, Packing Fraction = 0.142713, Time = 0.041093
