X Y  Index
---------------------------------------------------
0 0 :0
0.1 0 :1
0.2 0 :2
0.3 0 :3
0.4 0 :4
0.5 0 :5
0.6 0 :6
0.7 0 :7
0.8 0 :8
0.9 0 :9
1 0 :10
1.1 0 :11
1.2 0 :12
1.3 0 :13
1.4 0 :14
1.5 0 :15
1.6 0 :16
1.7 0 :17
1.8 0 :18
1.9 0 :19
2 0 :20
2.1 0 :21
2.2 0 :22
2.3 0 :23
2.4 0 :24
2.5 0 :25
2.6 0 :26
2.7 0 :27
2.8 0 :28
2.9 0 :29
3 0 :30
3.1 0 :31
3.2 0 :32
3.3 0 :33
3.4 0 :34
3.5 0 :35
3.6 0 :36
3.7 0 :37
3.8 0 :38
3.9 0 :39
4 0 :40
4.1 0 :41
4.2 0 :42
4.3 0 :43
4.4 0 :44
4.5 0 :45
4.6 0 :46
4.7 0 :47
4.8 0 :48
4.9 0 :49
5 0 :50
5.1 0 :51
5.2 0 :52
5.3 0 :53
5.4 0 :54
5.5 0 :55
5.6 0 :56
5.7 0 :57
5.8 0 :58
5.9 0 :59
6 0 :60
6.1 0 :61
6.2 0 :62
6.3 0 :63
6.4 0 :64
6.5 0 :65
6.6 0 :66
6.7 0 :67
6.8 0 :68
6.9 0 :69
7 0 :70
7.1 0 :71
7.2 0 :72
7.3 0 :73
7.4 0 :74
7.5 0 :75
7.6 0 :76
7.7 0 :77
7.8 0 :78
7.9 0 :79
8 0 :80
8.1 0 :81
8.2 0 :82
8.3 0 :83
8.4 0 :84
8.5 0 :85
8.6 0 :86
8.7 0 :87
8.8 0 :88
8.9 0 :89
9 0 :90
9.1 0 :91
9.2 0 :92
9.3 0 :93
9.4 0 :94
9.5 0 :95
9.6 0 :96
9.7 0 :97
9.8 0 :98
9.9 0 :99
10 0 :100
X Y  Index
---------------------------------------------------
0 0.1 :101
0.1 0.1 :102
0.2 0.1 :103
0.3 0.1 :104
0.4 0.1 :105
0.5 0.1 :106
0.6 0.1 :107
0.7 0.1 :108
0.8 0.1 :109
0.9 0.1 :110
1 0.1 :111
1.1 0.1 :112
1.2 0.1 :113
1.3 0.1 :114
1.4 0.1 :115
1.5 0.1 :116
1.6 0.1 :117
1.7 0.1 :118
1.8 0.1 :119
1.9 0.1 :120
2 0.1 :121
2.1 0.1 :122
