X Y Index
---------------------------------------------------
0 0 :0
0.47619 0 :1
0.952381 0 :2
1.42857 0 :3
1.90476 0 :4
2.38095 0 :5
2.85714 0 :6
3.33333 0 :7
3.80952 0 :8
4.28571 0 :9
4.7619 0 :10
5.2381 0 :11
5.71429 0 :12
6.19048 0 :13
6.66667 0 :14
7.14286 0 :15
7.61905 0 :16
8.09524 0 :17
8.57143 0 :18
9.04762 0 :19
9.52381 0 :20
10 0 :21
X Y Index
---------------------------------------------------
0 0.47619 :22
0.47619 0.47619 :23
0.952381 0.47619 :24
1.42857 0.47619 :25
1.90476 0.47619 :26
2.38095 0.47619 :27
2.85714 0.47619 :28
3.33333 0.47619 :29
3.80952 0.47619 :30
4.28571 0.47619 :31
4.7619 0.47619 :32
5.2381 0.47619 :33
5.71429 0.47619 :34
6.19048 0.47619 :35
6.66667 0.47619 :36
7.14286 0.47619 :37
7.61905 0.47619 :38
8.09524 0.47619 :39
8.57143 0.47619 :40
9.04762 0.47619 :41
9.52381 0.47619 :42
10 0.47619 :43
X Y Index
---------------------------------------------------
0 0.952381 :44
0.47619 0.952381 :45
0.952381 0.952381 :46
1.42857 0.952381 :47
1.90476 0.952381 :48
2.38095 0.952381 :49
2.85714 0.952381 :50
3.33333 0.952381 :51
3.80952 0.952381 :52
4.28571 0.952381 :53
4.7619 0.952381 :54
5.2381 0.952381 :55
5.71429 0.952381 :56
6.19048 0.952381 :57
6.66667 0.952381 :58
7.14286 0.952381 :59
7.61905 0.952381 :60
8.09524 0.952381 :61
8.57143 0.952381 :62
9.04762 0.952381 :63
9.52381 0.952381 :64
10 0.952381 :65
X Y Index
---------------------------------------------------
0 1.42857 :66
0.47619 1.42857 :67
0.952381 1.42857 :68
1.42857 1.42857 :69
1.90476 1.42857 :70
2.38095 1.42857 :71
2.85714 1.42857 :72
3.33333 1.42857 :73
3.80952 1.42857 :74
4.28571 1.42857 :75
4.7619 1.42857 :76
5.2381 1.42857 :77
5.71429 1.42857 :78
6.19048 1.42857 :79
6.66667 1.42857 :80
7.14286 1.42857 :81
7.61905 1.42857 :82
8.09524 1.42857 :83
8.57143 1.42857 :84
9.04762 1.42857 :85
9.52381 1.42857 :86
10 1.42857 :87
X Y Index
---------------------------------------------------
0 1.90476 :88
0.47619 1.90476 :89
